year,category,was_nominated,artist,track_name,popularity,danceability,energy,explicit,nomination_dec
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,74,0.407,0.147,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,70,0.407,0.147,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,58,0.453,0.146,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,57,0.447,0.158,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,40,0.456,0.101,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,57,0.447,0.158,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,7,0.78,0.732,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,74,0.407,0.147,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,70,0.407,0.147,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,57,0.447,0.158,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,58,0.453,0.146,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,40,0.456,0.101,False,2010
2014,Best Pop Duo/Group Performance,1,A Great Big World With Christina Aguilera,Say Something,57,0.447,0.158,False,2010
2009,Best Pop Collaboration With Vocals,1,Jason Mraz & Colbie Caillat,Lucky,74,0.625,0.414,False,2000
2009,Best Pop Collaboration With Vocals,1,Jason Mraz & Colbie Caillat,Lucky,68,0.625,0.414,False,2000
2009,Best Pop Collaboration With Vocals,1,Jason Mraz & Colbie Caillat,Lucky,49,0.632,0.468,False,2000
2009,Best Pop Collaboration With Vocals,1,Jason Mraz & Colbie Caillat,Lucky,0,0.746,0.738,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,52,0.489,0.314,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,52,0.489,0.314,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,5,0.74,0.622,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,5,0.74,0.622,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,5,0.74,0.622,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,45,0.579,0.706,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,29,0.463,0.622,False,2000
2001,Best Rock Gospel Album,1,dc Talk,Solo,69,0.469,0.289,True,2000
